exercise_name,equipment_name
Partner plank band row,resistance band
Banded crunch isometric hold,resistance band
FYR Banded Plank Jack,resistance band
Banded crunch,resistance band
Crunch,resistance band
Decline band press sit-up,resistance band
FYR2 Banded Frog Pump,resistance band
Band low-to-high twist,resistance band
Barbell roll-out,barbell
Barbell Ab Rollout - On Knees,barbell
Decline bar press sit-up,barbell
Bench barbell roll-out,barbell
Barbell Side Bend,barbell
Seated bar twist,barbell
Single-arm landmine pull and press,barbell
Barbell Ab Roll Out - Gethin Variation,barbell
30 Barbell Floor Wiper,barbell
30 Barbell Roll-Out,barbell
Decline plate sit-up,barbell
KV Barbell Hip Thrust,barbell
Advanced Kettlebell Windmill,kettlebell
Kettlebell Windmill,kettlebell
Kettlebell Pass Between The Legs,kettlebell
Kettlebell 3-point leg extension,kettlebell
Double Kettlebell Swing,kettlebell
Burpee over kettlebell,kettlebell
Kettlebell toe-touch,kettlebell
Kettlebell swing,kettlebell
Two-way swing,kettlebell
Kettlebell crab reach,kettlebell
Taylor Single-Arm Kettlebell Swing,kettlebell
Holman Kettlebell Up to Elbow Down,kettlebell
FYR2 Double-Kettlebell Ski,kettlebell
FYR2 Kettlebell Hike,kettlebell
FYR2 Kettlebell Cross-Body Catch,kettlebell
FYR2 Kettlebell Duck Walk,kettlebell
FYR2 Kettlebell Get-Up Reach,kettlebell
FYR2 Kettlebell Juggle,kettlebell
FYR2 Squat-Clean-Alternating-Press Complex,kettlebell
Dumbbell V-Sit Cross Jab,dumbbell
Dumbbell spell caster,dumbbell
Dumbbell side bend,dumbbell
Dumbbell crunch,dumbbell
Dumbbell Fix Dumbbell Sprawl,dumbbell
Dumbbell Fix Alternating Renegade Row,dumbbell
Dumbbell Fix Dumbbell Mountain Climber,dumbbell
Dumbbell Fix Dumbbell Russian Twist,dumbbell
Dumbbell Fix Dumbbell Pull-Over,dumbbell
Dumbbell Fix Dumbbell Sit-Up,dumbbell
Dumbbell Fix Dumbbell Front Squat,dumbbell
Dumbbell Fix Full Man Maker,dumbbell
Dumbbell T-hold,dumbbell
Dumbbell hollow-body floor press,dumbbell
Dumbbell crusher,dumbbell
Dumbbell Crunch - Gethin Variation,dumbbell
Single-arm dumbbell crunch,dumbbell
HM Alternating Dumbbell Plank Row,dumbbell
Dumbbell straight-legged hip raise,dumbbell
Seated leg tuck with dumbbell,dumbbell
Dumbbell V-sit cross jab-,dumbbell
30 Hanging Leg Raise With Dumbbell,dumbbell
Dumbbell Get-Up Sit-Up,dumbbell
Holman Right Side Plank with Left Triceps Press,dumbbell
Holman Left Side Plank with Right Triceps Press,dumbbell
Holman Boat with Feet Push-Out and Overhead Press,dumbbell
Holman Hovering Plank Row,dumbbell
Holman Weighted Seated Killer Abs to Russian Twist,dumbbell
