exercise_name,muscular_group_name
Partner plank band row,abdominals
Banded crunch isometric hold,abdominals
FYR Banded Plank Jack,abdominals
Banded crunch,abdominals
Crunch,abdominals
Decline band press sit-up,abdominals
FYR2 Banded Frog Pump,abdominals
Band low-to-high twist,abdominals
Barbell roll-out,abdominals
Barbell Ab Rollout - On Knees,abdominals
Decline bar press sit-up,abdominals
Bench barbell roll-out,abdominals
Barbell Side Bend,abdominals
Seated bar twist,abdominals
Single-arm landmine pull and press,abdominals
Barbell Ab Roll Out - Gethin Variation,abdominals
30 Barbell Floor Wiper,abdominals
30 Barbell Roll-Out,abdominals
Decline plate sit-up,abdominals
KV Barbell Hip Thrust,abdominals
Advanced Kettlebell Windmill,abdominals
Kettlebell Windmill,abdominals
Kettlebell Pass Between The Legs,abdominals
Kettlebell 3-point leg extension,abdominals
Double Kettlebell Swing,abdominals
Burpee over kettlebell,abdominals
Kettlebell toe-touch,abdominals
Kettlebell swing,abdominals
Two-way swing,abdominals
Kettlebell crab reach,abdominals
Taylor Single-Arm Kettlebell Swing,abdominals
Holman Kettlebell Up to Elbow Down,abdominals
FYR2 Double-Kettlebell Ski,abdominals
FYR2 Kettlebell Hike,abdominals
FYR2 Kettlebell Cross-Body Catch,abdominals
FYR2 Kettlebell Duck Walk,abdominals
FYR2 Kettlebell Get-Up Reach,abdominals
FYR2 Kettlebell Juggle,abdominals
FYR2 Squat-Clean-Alternating-Press Complex,abdominals
Dumbbell V-Sit Cross Jab,abdominals
Dumbbell spell caster,abdominals
Dumbbell side bend,abdominals
Dumbbell crunch,abdominals
Dumbbell Fix Dumbbell Sprawl,abdominals
Dumbbell Fix Alternating Renegade Row,abdominals
Dumbbell Fix Dumbbell Mountain Climber,abdominals
Dumbbell Fix Dumbbell Russian Twist,abdominals
Dumbbell Fix Dumbbell Pull-Over,abdominals
Dumbbell Fix Dumbbell Sit-Up,abdominals
Dumbbell Fix Dumbbell Front Squat,abdominals
Dumbbell Fix Full Man Maker,abdominals
Dumbbell T-hold,abdominals
Dumbbell hollow-body floor press,abdominals
Dumbbell crusher,abdominals
Dumbbell Crunch - Gethin Variation,abdominals
Single-arm dumbbell crunch,abdominals
HM Alternating Dumbbell Plank Row,abdominals
Dumbbell straight-legged hip raise,abdominals
Seated leg tuck with dumbbell,abdominals
Dumbbell V-sit cross jab-,abdominals
30 Hanging Leg Raise With Dumbbell,abdominals
Dumbbell Get-Up Sit-Up,abdominals
Holman Right Side Plank with Left Triceps Press,abdominals
Holman Left Side Plank with Right Triceps Press,abdominals
Holman Boat with Feet Push-Out and Overhead Press,abdominals
Holman Hovering Plank Row,abdominals
Holman Weighted Seated Killer Abs to Russian Twist,abdominals
Holman Straight Plank Dumbbell Reach-Under,abdominals
Holman Straight-Arm Side Plank Overhead Press to Chest Press,abdominals
Holman Weighted Burpee to Pike,abdominals
Holman Straight-Legged Boat Chest Press,abdominals
Holman Weighted Burpee to Side Delt Raise,abdominals
Holman Heavy Double Pike,abdominals
Holman Heavy Double Split Pike,abdominals
MetaBurn Alternating Dumbbell Sit-Through,abdominals
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,abdominals
MetaBurn Alternating Plank Row With Push-Up,abdominals
MetaBurn Dumbbell Russian Twist,abdominals
MetaBurn Dumbbell Toe-Touch,abdominals
MetaBurn Plank To Alternating Row,abdominals
Standing dumbbell knee crunch-,abdominals
MetaBurn Plank With Dumbbell Rotation,abdominals
FYR2 Dumbbell Crab Reach,abdominals
FYR2 Dumbbell Man-Maker,abdominals
FYR2 Dumbbell Sit-Up Reach,abdominals
FYR2 Loaded Beast Sprawl,abdominals
FYR2 Loaded to Unloaded Beast,abdominals
Lying Leg Pullover,abdominals
Landmine twist,abdominals
Suspended ab fall-out,abdominals
Decline reverse crunch,abdominals
Plate Twist,abdominals
Weighted Crunches,abdominals
Ab Roller,abdominals
Otis-Up,abdominals
Captain's chair knee raise,abdominals
Sledgehammer swing,abdominals
Pallof press,abdominals
Weighted Sit-Ups - With Bands,abdominals
Suitcase crunch,abdominals
FYR Rope Jumping,abdominals
Barbell press sit-up,abdominals
Single-arm bent-over rear delt fly,abdominals
Captain's chair leg raise,abdominals
Shoulder-Elevated One-Leg Hip Thrusts,abdominals
Ab Twist - Gethin Variation,abdominals
Weighted Crunch - Gethin Variation,abdominals
Ab Wheel Roll-Out - Gethin Variation,abdominals
Bench crunch,abdominals
Decline plate sit-up twist,abdominals
Reverse ab roll-out,abdominals
30 Seated Twist With PVC Pipe,abdominals
Suspended crunch-,abdominals
Suspended oblique crunch,abdominals
Weighted sit-up,abdominals
30 Decline Press Sit-Up,abdominals
Holman Towel Reverse Plank Alternating Heel Pull-in,abdominals
Holman Boat with Weighted Cross Punch,abdominals
Holman Weighted Hook Punch,abdominals
Holman Weighted Traveling Punch,abdominals
Holman Weighted Uppercut Punch,abdominals
Holman Slow Weighted Double Pike,abdominals
Holman Plate Straight Plank Reach,abdominals
Holman Plate Elbow Plank Jack to Straight Plank Jack,abdominals
Holman Plate Hill Climber,abdominals
Holman Plate Reverse Plank Hill Climber,abdominals
Holman Plate Straight Plank Pike to Jack,abdominals
Holman Plate In-and-Out Push-Up,abdominals
Holman Plate Burpee,abdominals
Holman Plate Elbow Plank Reach,abdominals
Holman Elbow Plank to Renegade Row,abdominals
Holman Straight Plank Weighted Hand Hill Climber,abdominals
Holman Weighted Left Side Diagonal Pike,abdominals
Holman Weighted Right Side Diagonal Pike,abdominals
Holman Weighted W-Boat to Overhead Press,abdominals
Holman Weighted Kneeling Lift,abdominals
Holman Hips-Up Weighted Pull-Over,abdominals
Holman Weighted Cross Punch,abdominals
Holman Straight-Leg Boat Hover Chest Press,abdominals
Holman Weighted Pike,abdominals
Holman Feet-Elevated Wax-On Wax-Off,abdominals
Holman Elbow Plank to Towel Pike,abdominals
Holman Seated Killer Abs Overhead Press,abdominals
Holman Straight Plank Alternating Weighted Open,abdominals
Holman Weighted Killer Abs with Overhead Press,abdominals
Holman Weighted Split-Leg Pike,abdominals
Holman Towel Reverse Plank Heel Pull-in,abdominals
Stick Twist,abdominals
Roc Everest,abdominals
Standing cable low-to-high twist,abdominals
Single-arm high-cable side bend,abdominals
Kneeling cable oblique crunch,abdominals
Kneeling cable crunch,abdominals
Rope Crunch,abdominals
Standing cable crunch,abdominals
Bosu Ball Cable Crunch With Side Bends,abdominals
Standing Cable Wood Chop,abdominals
Cable reverse crunch,abdominals
Cable Russian Twists,abdominals
Pallof press with rotation,abdominals
Cable Seated Crunch,abdominals
Cable Judo Flip,abdominals
Exercise Ball Cable Crunch - Gethin Variation,abdominals
Standing cable high-to-low twist,abdominals
Bent-Over Reverse Cable Fly,abdominals
Standing Cable Crunch - Gethin Variation,abdominals
AM Cable Crunch,abdominals
Tyler Holt Weighted Knee-To-Chest Crunch,abdominals
Standing cable twist,abdominals
30 Cable Rope Crunch,abdominals
30 Cable Rope Oblique Crunch,abdominals
Cable lying twist on ball,abdominals
30 Cable Pallof Press,abdominals
30 Cable Reverse Crunch On Ball,abdominals
30 Cable Reverse Crunch,abdominals
Tyler Holt Cable Torso Twist,abdominals
Single-Arm Cable Outward-Facing Biceps Curl,abdominals
Biceps Rope Curl,abdominals
Kneeling Cable Crunches,abdominals
Ab Crunch Machine,abdominals
Smith machine straight-legged hip raise,abdominals
Machine crunch,abdominals
AM Ab Machine,abdominals
Smith machine V-up,abdominals
Elbow plank,abdominals
Bottoms Up,abdominals
Spider crawl,abdominals
Cocoons,abdominals
Cross-Body Crunch,abdominals
Elbow-to-knee crunch,abdominals
Decline Crunch,abdominals
Hanging toes-to-bar,abdominals
Hanging Oblique Knee Raise,abdominals
Gorilla Chin/Crunch,abdominals
Hanging leg raise,abdominals
Mountain climber,abdominals
Ab bicycle,abdominals
3/4 sit-up,abdominals
Reverse crunch,abdominals
Crunches,abdominals
Dead bug reach,abdominals
Crunch - Hands Overhead,abdominals
V-up,abdominals
Stomach Vacuum,abdominals
Russian twist,abdominals
Flat Bench Lying Leg Raise,abdominals
Knees tucked crunch,abdominals
Butt-Ups,abdominals
Feet-elevated oblique crunch,abdominals
Bent-knee reverse crunch,abdominals
Alternating heel-touch,abdominals
Suspended Reverse Crunch,abdominals
Lying bench reverse crunch,abdominals
Sit-up,abdominals
Side Bridge,abdominals
Lying oblique crunch,abdominals
Janda Sit-Up,abdominals
Leg Pull-In,abdominals
Side Jackknife,abdominals
Scissor Kick,abdominals
Toe Touchers,abdominals
Lower Back Curl,abdominals
Exercise ball torso rotation,abdominals
Seated Overhead Stretch,abdominals
Overhead Stretch,abdominals
Seated Scissor Kick,abdominals
Partner resistance standing twist,abdominals
Cross Crunch,abdominals
Full Moon,abdominals
Hanging knee raise with manual resistance,abdominals
Straight-Legged Hip Raise,abdominals
